
"Reference number","2022-20288257"
"Entity number","0567901841"
"Accounting period start date","2021-01-01"
"Accounting period end date","2021-12-31"
"Model code","m87-f"
"Deposit type","Initial"
"Language","fr"
"Currency","EUR"
"Entity name","ALLIANCE DISTRIB"
"Entity address street","Chaussée de Liège(LI)"
"Entity address number","1178"
"Entity postal code","5101"
"Entity city","Lives-Sur-Meuse"
"Entity country","Belgique"
"General assembly date","2022-06-24"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Société à responsabilité limitée"
"40/41","64484.42"
"454/9","2500"
"111","6200"
"13","1860"
"14","5261.94"
"17","767000"
"28","800000"
"130/1","1860"
"40","37296.88"
"41","27187.54"
"42","60000"
"44","16167.44"
"45","19141.09"
"14P","-4665.66"
"62","3477.83"
"10/49","880967.72"
"65","42358.16"
"21/28","800000"
"20/58","880967.72"
"70","100838.66"
"10/11","6200"
"10/15","13321.94"
"8365","800000"
"170/4","767000"
"450/3","16641.09"
"54/58","16483.30"
"65/66B","42358.16"
"9903","11243.09"
"9900","57079.08"
"9901","53601.25"
"9906","5261.94"
"9904","9927.60"
"60/61","43759.58"
"9905","9927.60"
"42/48","100645.78"
"8395","800000"
"440/4","16167.44"
"47/48","5337.25"
"29/58","80967.72"
"17/49","867645.78"
"1311","1860"
"174/0","767000"
"67/77","1315.49"
