============================================================
  BCE/KBO — BRONZE MongoDB Ingestion (multi-passes)
  Source  : /workspaces/Data-Platform/TP2/data
  Target  : bce_bronze.enterprise_finale
============================================================

⚠️  1,231,876 docs existants — drop et réingestion complète...

[Pass 0] Ingestion enterprise.csv (documents de base)...
  chunk   1  total=    5,000  [0s]
  chunk   2  total=   10,000  [1s]
  chunk   3  total=   15,000  [1s]
  chunk   4  total=   20,000  [1s]
  chunk   5  total=   25,000  [2s]
  chunk   6  total=   30,000  [2s]
  chunk   7  total=   35,000  [2s]
  chunk   8  total=   40,000  [3s]
  chunk   9  total=   45,000  [4s]
  chunk  10  total=   50,000  [4s]
  chunk  11  total=   55,000  [4s]
  chunk  12  total=   60,000  [5s]
  chunk  13  total=   65,000  [5s]
  chunk  14  total=   70,000  [5s]
  chunk  15  total=   75,000  [6s]
  chunk  16  total=   80,000  [6s]
  chunk  17  total=   85,000  [7s]
  chunk  18  total=   90,000  [7s]
  chunk  19  total=   95,000  [7s]
  chunk  20  total=  100,000  [7s]
  chunk  21  total=  105,000  [8s]
  chunk  22  total=  110,000  [8s]
  chunk  23  total=  115,000  [8s]
  chunk  24  total=  120,000  [8s]
  chunk  25  total=  125,000  [9s]
  chunk  26  total=  130,000  [9s]
  chunk  27  total=  135,000  [9s]
  chunk  28  total=  140,000  [9s]
  chunk  29  total=  145,000  [10s]
  chunk  30  total=  150,000  [10s]
  chunk  31  total=  155,000  [10s]
  chunk  32  total=  160,000  [11s]
  chunk  33  total=  165,000  [11s]
  chunk  34  total=  170,000  [11s]
  chunk  35  total=  175,000  [12s]
  chunk  36  total=  180,000  [12s]
  chunk  37  total=  185,000  [12s]
  chunk  38  total=  190,000  [12s]
  chunk  39  total=  195,000  [13s]
  chunk  40  total=  200,000  [13s]
  chunk  41  total=  205,000  [14s]
  chunk  42  total=  210,000  [14s]
  chunk  43  total=  215,000  [14s]
  chunk  44  total=  220,000  [15s]
  chunk  45  total=  225,000  [15s]
  chunk  46  total=  230,000  [15s]
  chunk  47  total=  235,000  [15s]
  chunk  48  total=  240,000  [16s]
  chunk  49  total=  245,000  [16s]
  chunk  50  total=  250,000  [16s]
  chunk  51  total=  255,000  [16s]
  chunk  52  total=  260,000  [17s]
  chunk  53  total=  265,000  [17s]
  chunk  54  total=  270,000  [17s]
  chunk  55  total=  275,000  [17s]
  chunk  56  total=  280,000  [18s]
  chunk  57  total=  285,000  [18s]
  chunk  58  total=  290,000  [18s]
  chunk  59  total=  295,000  [19s]
  chunk  60  total=  300,000  [19s]
  chunk  61  total=  305,000  [19s]
  chunk  62  total=  310,000  [19s]
  chunk  63  total=  315,000  [20s]
  chunk  64  total=  320,000  [20s]
  chunk  65  total=  325,000  [20s]
  chunk  66  total=  330,000  [20s]
  chunk  67  total=  335,000  [21s]
  chunk  68  total=  340,000  [21s]
  chunk  69  total=  345,000  [21s]
  chunk  70  total=  350,000  [22s]
  chunk  71  total=  355,000  [22s]
  chunk  72  total=  360,000  [22s]
  chunk  73  total=  365,000  [23s]
  chunk  74  total=  370,000  [23s]
  chunk  75  total=  375,000  [23s]
  chunk  76  total=  380,000  [23s]
  chunk  77  total=  385,000  [24s]
  chunk  78  total=  390,000  [24s]
  chunk  79  total=  395,000  [24s]
  chunk  80  total=  400,000  [24s]
  chunk  81  total=  405,000  [25s]
  chunk  82  total=  410,000  [25s]
  chunk  83  total=  415,000  [25s]
  chunk  84  total=  420,000  [26s]
  chunk  85  total=  425,000  [26s]
  chunk  86  total=  430,000  [26s]
  chunk  87  total=  435,000  [26s]
  chunk  88  total=  440,000  [27s]
  chunk  89  total=  445,000  [27s]
  chunk  90  total=  450,000  [27s]
  chunk  91  total=  455,000  [27s]
  chunk  92  total=  460,000  [28s]
  chunk  93  total=  465,000  [28s]
  chunk  94  total=  470,000  [28s]
  chunk  95  total=  475,000  [29s]
  chunk  96  total=  480,000  [29s]
  chunk  97  total=  485,000  [30s]
  chunk  98  total=  490,000  [30s]
  chunk  99  total=  495,000  [30s]
  chunk 100  total=  500,000  [30s]
  chunk 101  total=  505,000  [31s]
  chunk 102  total=  510,000  [31s]
  chunk 103  total=  515,000  [31s]
  chunk 104  total=  520,000  [31s]
  chunk 105  total=  525,000  [32s]
  chunk 106  total=  530,000  [32s]
  chunk 107  total=  535,000  [32s]
  chunk 108  total=  540,000  [33s]
  chunk 109  total=  545,000  [33s]
  chunk 110  total=  550,000  [33s]
  chunk 111  total=  555,000  [34s]
  chunk 112  total=  560,000  [34s]
  chunk 113  total=  565,000  [34s]
  chunk 114  total=  570,000  [34s]
  chunk 115  total=  575,000  [35s]
  chunk 116  total=  580,000  [35s]
  chunk 117  total=  585,000  [35s]
  chunk 118  total=  590,000  [35s]
